Month,Year,# of cigarettes sold,# of cigarettes produced,# of cigarettes in opening inventory,# of cigarettes in closing inventory
January,2004,"2,932,197","2,586,972","3,411,355","3,415,754"
February,2004,"2,675,718","2,535,635","3,415,754","3,569,334"
March,2004,"3,208,140","3,154,586","3,569,334","3,808,825"
April,2004,"3,107,788","2,992,174","3,809,094","4,013,915"
May,2004,"3,185,678","3,241,380","4,013,915","4,035,835"
June,2004,"3,772,473","3,334,575","4,035,835","4,324,218"
July,2004,"2,562,059","3,345,682","4,324,218","3,584,438"
August,2004,"3,238,115","3,444,878","3,584,438","3,497,206"
September,2004,"3,694,043","3,272,152","3,497,207","3,635,042"
October,2004,"3,388,046","3,366,947","3,635,042","3,595,264"
November,2004,"3,801,400","2,711,863","3,595,264","4,465,496"
December,2004,"2,345,731","3,286,900","4,465,496","3,318,167"
January,2005,"2,967,012","2,600,130","3,318,197","3,722,837"
February,2005,"3,071,744","2,729,526","3,722,837","3,974,254"
March,2005,"3,364,751","2,914,081","3,974,254","4,575,499"
April,2005,"3,610,165","2,821,311","4,575,499","5,030,731"
May,2005,"3,004,348","3,129,694","5,030,731","5,060,559"
June,2005,"3,423,538","3,510,770","5,060,559","5,078,404"
July,2005,"3,073,654","3,160,294","5,078,404","4,585,413"
August,2005,"3,224,215","3,464,834","4,585,413","4,612,529"
September,2005,"3,282,396","3,175,082","4,610,753","4,751,867"
October,2005,"3,465,835","2,863,755","4,751,867","5,056,485"
November,2005,"3,140,783","3,205,976","5,056,485","5,147,538"
December,2005,"2,654,662","3,441,805","5,147,538","4,003,933"
January,2006,"2,302,406","2,243,835","4,003,933","4,081,505"
February,2006,"2,778,209","2,479,568","4,081,505","3,951,096"
March,2006,"2,499,460","2,343,905","3,951,096","3,860,410"
April,2006,"2,280,742","2,179,266","3,860,410","3,442,773"
May,2006,"2,160,048","2,570,828","3,442,773","2,906,337"
June,2006,"2,334,257","2,447,757","2,906,337","2,208,923"
July,2006,"1,799,850","2,191,462","2,208,923","1,535,384"
August,2006,"1,925,677","2,026,782","1,535,384","1,414,015"
September,2006,"1,891,155","1,659,780","1,414,015","1,630,026"
October,2006,"1,992,399","1,908,206","1,630,026","1,692,773"
November,2006,"2,081,538","1,628,408","1,692,773","2,125,874"
December,2006,"1,098,942","1,632,174","2,125,874","1,544,275"
January,2007,"1,340,301","1,299,789","1,544,275","1,582,501"
February,2007,"1,335,121","1,176,032","1,582,501","1,699,833"
March,2007,"1,111,453","1,078,460","1,699,832","1,711,171"
April,2007,"1,538,435","1,567,359","1,711,171","1,664,292"
May,2007,"1,951,655","1,721,670","1,664,292","1,870,710"
June,2007,"1,748,191","1,491,889","1,870,710","2,101,503"
July,2007,"1,215,844","1,696,198","2,101,503","1,609,126"
August,2007,"1,593,183","1,543,894","1,609,126","1,625,418"
September,2007,"1,405,175","1,318,284","1,625,418","1,693,406"
October,2007,"1,559,976","1,579,999","1,693,406","1,654,554"
November,2007,"1,785,177","1,420,338","1,654,554","2,008,630"
December,2007,"1,187,291","1,651,799","2,008,630","1,519,227"
January,2008,"1,461,478","1,272,531","1,519,227","1,733,269"
February,2008,"1,330,264","1,238,644","1,733,269","1,812,677"
March,2008,"1,443,605","1,313,921","1,812,677","1,937,811"
April,2008,"1,715,296","1,611,215","1,937,811","2,000,555"
May,2008,"1,912,013","1,597,972","2,000,555","2,286,667"
June,2008,"1,705,120","1,614,044","2,286,667","2,355,633"
July,2008,"1,270,621","1,680,543","2,355,633","1,905,900"
August,2008,"1,396,651","1,509,406","1,905,900","1,788,002"
September,2008,"1,883,097","1,571,728","1,788,002","2,066,968"
October,2008,"1,775,924","1,693,434","2,066,968","2,141,471"
November,2008,"1,672,566","1,309,710","2,141,471","2,468,104"
December,2008,"1,056,168","1,720,482","2,468,104","1,791,114"
January,2009,"1,581,209","1,320,020","1,791,114","2,044,644"
February,2009,"1,409,088","1,467,071","2,044,644","1,976,238"
March,2009,"1,660,612","1,874,764","1,976,238","1,712,794"
April,2009,"1,706,208","1,464,744","1,712,794","1,924,711"
May,2009,"1,763,390","1,467,612","1,924,711","2,181,773"
June,2009,"1,897,136","1,763,945","2,181,773","2,311,914"
July,2009,"1,186,496","1,744,863","2,311,914","1,731,775"
August,2009,"1,608,292","1,779,045","1,731,775","1,547,856"
September,2009,"2,049,342","1,980,274","1,547,856","1,613,938"
October,2009,"2,132,535","1,783,358","1,613,938","1,937,512"
November,2009,"2,177,225","1,764,617","1,937,512","2,361,825"
December,2009,"1,347,957","1,838,923","2,361,825","1,755,646"
January,2010,"1,748,304","1,691,018","1,755,646","1,804,478"
February,2010,"1,823,877","1,459,973","1,804,478","2,160,125"
March,2010,"2,084,835","2,203,580","2,160,125","2,022,169"
April,2010,"2,097,143","1,907,087","2,022,169","2,186,752"
May,2010,"1,992,203","1,881,017","2,186,752","2,264,513"
June,2010,"2,636,636","2,513,228","2,264,513","2,371,159"
July,2010,"1,856,695","1,934,300","2,371,159","2,271,548"
August,2010,"2,048,491","1,995,493","2,271,548","2,297,839"
September,2010,"1,937,091","1,811,240","2,297,839","2,402,958"
October,2010,"1,791,801","1,709,285","2,402,958","2,492,483"
November,2010,"1,930,908","1,697,942","2,492,483","2,706,769"
December,2010,"1,429,117","2,128,112","2,706,769","1,984,000"
January,2011,"1,832,250","1,551,233","1,984,000","2,254,017"
February,2011,"1,629,084r","1,607,685r","2,254,017","2,265,778r"
March,2011,"1,973,125","1,729,115","2,265,778","2,469,713"
April,2011,"1,553,652","1,824,399","2,469,713","2,181,023"
May,2011,"1,959,661","2,154,743","2,181,023","1,965,024"
June,2011,"2,213,079","1,961,032","1,965,024","2,202,013"
July,2011,"1,872,596","1,799,739","2,202,013","2,260,286"
August,2011,"2,107,134","1,975,365","2,260,286","2,360,900"
September,2011,"1,948,643","1,825,318","2,360,900","2,480,368"
October,2011,"1,859,876","1,789,841","2,480,368","2,531,542"
November,2011,"1,946,798","1,746,602","2,531,542","2,680,480"
December,2011,"1,606,296","1,786,556","2,680,480","2,455,781"
January,2012,"1,591,432","1,599,729","2,455,781","2,444,891"
February,2012,"1,628,309","1,631,452","2,444,891","2,427,382"
March,2012,"1,971,517","1,867,846","2,427,382","2,499,510"
April,2012,"1,677,160","1,545,828","2,499,510","2,589,402"
